,0,1,2
01-01-1978,0.209485956,0.130455282,2.751900834
02-01-1978,0.229383938,0.131489908,2.213097608
03-01-1978,0.208700836,0.131905626,2.570019264
04-01-1978,0.189023789,0.1316142,2.17301781
05-01-1978,0.260857253,0.130778815,2.66862794
06-01-1978,0.227089613,0.130431778,2.468723526
07-01-1978,0.125252387,0.131576633,1.983634891
08-01-1978,0.139079637,0.130010189,2.030610071
09-01-1978,0.124184613,0.131224857,2.194706152
10-01-1978,-0.010146137,0.129817355,2.25701717
11-01-1978,0.042561145,0.130259788,2.732999989
12-01-1978,0.031121508,0.130677279,1.981981894
13-01-1978,0.166294851,0.129745045,2.03475978
14-01-1978,0.053092263,0.129983529,2.346451144
15-01-1978,0.073370233,0.129893284,3.064053728
16-01-1978,0.271962634,0.130418941,1.755879916
17-01-1978,0.090578966,0.131481654,2.007884692
18-01-1978,0.398710645,0.131729188,2.596235548
19-01-1978,-0.021075802,0.131249258,1.897153585
20-01-1978,0.068447629,0.130590103,2.090510639
21-01-1978,0.231064173,0.131711181,2.133455929
22-01-1978,0.06274869,0.131352656,2.733100431
23-01-1978,0.090249224,0.13194317,2.758763498
24-01-1978,0.208971304,0.131380406,2.580293449
25-01-1978,0.0670051,0.131150943,2.195943035
26-01-1978,0.144328702,0.131886184,2.699297146
27-01-1978,0.054750765,0.130911463,2.18468263
28-01-1978,0.223230776,0.132463825,2.378007734
29-01-1978,0.147574303,0.131533421,2.18955758
30-01-1978,-0.029935064,0.130891705,1.955815303
31-01-1978,0.296239443,0.131891086,1.978905527
01-02-1978,0.066663728,0.131656078,2.316641996
02-02-1978,0.120422477,0.13217369,2.511846344
03-02-1978,0.179368497,0.130687894,2.555707264
04-02-1978,0.048958413,0.131423336,1.894640694
05-02-1978,0.179244149,0.132166956,2.012605935
06-02-1978,0.15203965,0.13202432,2.295031699
07-02-1978,0.095237557,0.130925424,2.146260002
08-02-1978,0.070520517,0.130802062,2.033607092
09-02-1978,0.165997294,0.131815952,2.442799938
10-02-1978,0.016072582,0.13112365,2.364180671
11-02-1978,0.040664389,0.130982081,2.084254559
12-02-1978,0.100239465,0.130393338,2.937266617
13-02-1978,0.152312646,0.131553895,2.508477602
14-02-1978,0.08918882,0.131318969,1.880916376
15-02-1978,0.177892571,0.131058718,2.182227964
16-02-1978,0.07966768,0.131258288,2.140817195
17-02-1978,0.003258796,0.131770045,1.980723306
18-02-1978,0.239107192,0.132005382,2.052946592
19-02-1978,0.193466344,0.131429127,2.43477232
20-02-1978,0.201825422,0.130947645,2.313901871
21-02-1978,0.174978259,0.131588675,2.561010657
22-02-1978,0.214813866,0.131397521,2.283148096
23-02-1978,0.247469588,0.130145109,2.458793905
24-02-1978,0.171518222,0.131606797,2.689830685
25-02-1978,0.159978147,0.131367078,2.192330106
26-02-1978,0.090421508,0.130647881,2.07427781
27-02-1978,0.131278138,0.130800267,1.957182557
28-02-1978,0.35329039,0.129423376,2.657943338
01-03-1978,0.107212426,0.130194729,2.081497473
02-03-1978,0.158607847,0.130799511,2.163616649
03-03-1978,0.141046608,0.130411834,2.300404732
04-03-1978,0.222092859,0.130887314,2.223286507
05-03-1978,0.090289852,0.131833539,2.389376798
06-03-1978,0.14400845,0.131880583,2.335446147
07-03-1978,0.204038093,0.131247522,2.415283694
08-03-1978,0.281145826,0.13116659,2.584499595
09-03-1978,0.163764106,0.132103791,2.164964373
10-03-1978,0.207050336,0.130996097,2.32831365
11-03-1978,0.205870541,0.132535587,2.746432174
12-03-1978,0.12506549,0.130462503,1.96224964
13-03-1978,0.096548452,0.131571547,2.356132509
14-03-1978,0.039736713,0.131411269,2.138324986
15-03-1978,0.082823704,0.130934735,2.123195199
16-03-1978,0.207820022,0.131997004,2.16671584
17-03-1978,0.151536423,0.131744776,2.353034474
18-03-1978,0.086623663,0.131148334,2.142612042
19-03-1978,0.212568783,0.132131705,2.066120316
20-03-1978,0.241123216,0.13109304,2.402873557
21-03-1978,0.088033371,0.132416676,2.099433456
22-03-1978,0.04903997,0.131252357,2.21710304
23-03-1978,0.181561777,0.131015995,2.144776294
24-03-1978,0.182207667,0.131555922,2.04475781
25-03-1978,0.153508645,0.132345003,2.327250701
26-03-1978,0.1210235,0.132620659,2.247010393
27-03-1978,0.209989576,0.131059443,3.296214219
28-03-1978,0.06297472,0.131785734,1.980487506
29-03-1978,0.480918688,0.13181057,2.222886978
30-03-1978,0.259207395,0.13152339,2.318979151
31-03-1978,0.164477936,0.131971956,1.977692894
01-04-1978,0.096464186,0.13104376,2.052749396
02-04-1978,0.211938195,0.132210837,2.178338836
03-04-1978,0.035637576,0.13170483,2.300598995
04-04-1978,0.196582837,0.131845876,2.775968511
05-04-1978,0.130340116,0.133178812,2.03485821
06-04-1978,0.393623417,0.131316471,2.078947131
07-04-1978,0.152158472,0.131741415,1.965972501
08-04-1978,0.212442926,0.130843332,2.384531146
09-04-1978,0.093044925,0.132721443,2.056939663
10-04-1978,0.272633924,0.13260514,2.028578989
11-04-1978,0.196041424,0.132002893,2.219648316
12-04-1978,0.075365528,0.131112525,2.234721662
13-04-1978,0.163391716,0.131624265,2.507136508
14-04-1978,0.100398349,0.131820818,1.979960408
15-04-1978,0.277713558,0.132381771,2.341712144
16-04-1978,0.074446558,0.131959377,3.144907246
17-04-1978,0.029940379,0.131766881,2.405763851
18-04-1978,0.202731976,0.132007183,2.143822742
19-04-1978,0.279990679,0.132192051,2.201342643
20-04-1978,0.220198759,0.132111739,2.694688627
21-04-1978,0.103479339,0.131630139,2.431054182
22-04-1978,0.126059823,0.132015963,2.310326664
23-04-1978,0.202859581,0.132485995,2.3776098
24-04-1978,0.159357162,0.131881742,2.274765226
25-04-1978,0.124504676,0.130739982,2.317577184
26-04-1978,0.162303942,0.131714845,1.943592609
27-04-1978,0.163674684,0.131886046,2.297437898
28-04-1978,0.246711267,0.132732645,2.591675926
29-04-1978,0.166399566,0.132225037,2.397427962
30-04-1978,0.068889911,0.130853774,1.918171651
01-05-1978,0.074148094,0.131130429,2.196286576
02-05-1978,0.073964859,0.131207084,2.027329562
03-05-1978,0.053169655,0.130113152,2.367170377
04-05-1978,0.260255658,0.132146633,2.270205407
05-05-1978,0.148932247,0.130940451,2.031457799
06-05-1978,0.139362807,0.130889999,2.910841186
07-05-1978,0.167560922,0.13101273,2.36618228
08-05-1978,0.180619517,0.131692456,2.536212103
09-05-1978,0.04743684,0.130845586,2.162854774
10-05-1978,0.061231526,0.131088866,2.311409125
11-05-1978,0.389411997,0.131529448,2.174418005
12-05-1978,0.311780917,0.131950434,2.220530775
13-05-1978,0.218744994,0.132052963,2.294533904
14-05-1978,0.106640654,0.131131261,2.08188344
15-05-1978,0.224199448,0.131758868,2.352782808
16-05-1978,0.191890708,0.131313848,2.604447318
17-05-1978,0.120642976,0.131227173,2.545204559
18-05-1978,0.147587449,0.131928025,2.296706861
19-05-1978,0.119170594,0.131481013,2.243669969
20-05-1978,0.220073992,0.12992481,2.501446802
21-05-1978,0.152972368,0.131222242,2.011854057
22-05-1978,0.19557487,0.130528537,2.037868547
23-05-1978,0.064254681,0.131094318,1.914652014
24-05-1978,0.221156291,0.131168011,1.936447757
25-05-1978,0.137861249,0.130969538,2.588388153
26-05-1978,0.184339119,0.132122309,1.808929936
27-05-1978,-0.060906297,0.130775547,2.278713466
28-05-1978,0.242489742,0.132710456,2.222884382
29-05-1978,0.172420163,0.131505004,1.984715345
30-05-1978,0.294519812,0.130473413,2.467935753
31-05-1978,0.26905123,0.132056677,1.938561573
01-06-1978,0.161204159,0.131615943,2.598469397
02-06-1978,0.032115976,0.131983216,1.939640571
03-06-1978,0.17414014,0.131790554,2.503973093
04-06-1978,0.22289556,0.131233845,3.08609414
05-06-1978,0.01936964,0.131052594,2.403615152
06-06-1978,0.22638693,0.150093606,1.61232718
07-06-1978,0.295185806,0.149694003,2.070891241
08-06-1978,0.301438062,0.150481695,2.970460962
09-06-1978,0.043551485,0.148934769,1.806159847
10-06-1978,0.204611469,0.150150596,2.197793477
11-06-1978,0.160289036,0.15080588,2.605999181
12-06-1978,0.647784225,0.150149233,3.156859282
13-06-1978,0.423772169,0.149992773,2.393448645
14-06-1978,0.207730194,0.14998352,1.873539168
15-06-1978,0.258821295,0.150176446,1.7912263
16-06-1978,0.14159831,0.148528515,1.871694464
17-06-1978,0.282015311,0.151606172,2.321805209
18-06-1978,0.32442763,0.150923128,1.808867889
19-06-1978,0.223285663,0.149051678,2.408560611
20-06-1978,0.201727755,0.1508605,1.909048421
21-06-1978,0.133184002,0.1487483,1.721028067
22-06-1978,0.12956159,0.148396451,1.940747227
23-06-1978,0.150114076,0.151618973,1.754397852
24-06-1978,0.177679156,0.149040589,1.623718752
25-06-1978,0.245072006,0.150323914,2.095474979
26-06-1978,0.182711404,0.150395844,1.735420295
27-06-1978,0.281055572,0.149727985,2.103815134
28-06-1978,0.219072228,0.15019786,1.964075914
29-06-1978,0.090113797,0.150524721,1.620996191
30-06-1978,0.257653438,0.149209705,1.963679245
01-07-1978,0.222248831,0.150625549,1.785885601
02-07-1978,0.305522836,0.150237219,2.276399967
03-07-1978,0.37893188,0.150519256,2.17247951
04-07-1978,0.362631149,0.14905342,1.83155811
05-07-1978,0.198359984,0.150657022,2.104116994
06-07-1978,0.211536931,0.148513728,1.972881585
07-07-1978,0.114951435,0.14986301,1.528062196
08-07-1978,0.224777489,0.15104927,2.065551189
09-07-1978,0.190407163,0.14992526,2.021006996
10-07-1978,0.258739514,0.14976324,2.003161785
11-07-1978,0.240190822,0.150705711,1.897738305
12-07-1978,0.219126784,0.149297559,2.438084068
13-07-1978,0.353636804,0.150794893,2.248086739
14-07-1978,0.526285286,0.150128015,1.705211388
15-07-1978,0.291188081,0.149106518,1.998571243
16-07-1978,0.256917527,0.15016503,2.277494301
17-07-1978,0.260192313,0.150278888,2.049522751
18-07-1978,0.104004246,0.148553962,1.689621714
19-07-1978,0.203434913,0.14816289,2.078793144
20-07-1978,0.285888953,0.152093082,1.972476297
21-07-1978,0.210388795,0.148865189,2.230205743
22-07-1978,0.187454622,0.149167815,1.56870301
23-07-1978,0.1160991,0.149498826,2.561893019
24-07-1978,0.219934326,0.149788261,2.056235899
25-07-1978,0.251475353,0.150585129,2.091840021
26-07-1978,0.269461858,0.15116857,2.083766486
27-07-1978,0.327619207,0.150202308,2.14377532
28-07-1978,0.192663836,0.150120308,2.1449463
29-07-1978,0.161819076,0.150343115,1.902315247
30-07-1978,0.174733388,0.15022228,1.91715902
31-07-1978,0.135333386,0.148964787,2.161584678
01-08-1978,0.398612723,0.151879368,1.738221618
02-08-1978,0.144657325,0.149738443,1.616151438
03-08-1978,0.339333082,0.15122019,1.970636327
04-08-1978,0.330903297,0.151344391,1.889729761
05-08-1978,0.182299174,0.149103927,1.884591548
06-08-1978,0.272635567,0.14846143,2.633680681
07-08-1978,0.187886555,0.150032588,1.999565586
08-08-1978,0.340337543,0.150200241,2.276960394
09-08-1978,0.200448978,0.149041502,1.865252272
10-08-1978,0.246871193,0.149761689,2.250241709
11-08-1978,0.182874733,0.150128984,1.871723853
12-08-1978,0.300975801,0.149507223,2.153742102
13-08-1978,0.111920259,0.149974212,1.646949811
14-08-1978,0.361090952,0.149697474,1.810317791
15-08-1978,0.256773507,0.150540296,2.172175876
16-08-1978,0.343059633,0.15056526,2.045624595
17-08-1978,0.243535633,0.149623978,1.664171769
18-08-1978,0.233361431,0.150616102,2.025015897
19-08-1978,0.181785638,0.14994548,2.114101743
20-08-1978,0.201662039,0.148398167,1.907031646
21-08-1978,0.343470761,0.148933601,2.182180504
22-08-1978,0.136758685,0.15025843,1.850145782
23-08-1978,0.174549049,0.149504754,1.732386382
24-08-1978,0.566741167,0.150005896,2.359907237
25-08-1978,0.201128103,0.149864261,2.021829614
26-08-1978,0.284586715,0.150248545,2.515831353
27-08-1978,0.222334228,0.149202839,1.735891904
28-08-1978,0.191545386,0.149759311,2.116729829
29-08-1978,0.183179949,0.149960654,1.613756632
30-08-1978,0.19878788,0.1496713,1.844040908
