,0,1,2
01-01-1978,0.790249909,0.10902049,2.283974329
02-01-1978,1.23470263,0.108899506,3.452724565
03-01-1978,0.924708311,0.110319206,2.36586184
04-01-1978,0.652666958,0.111037153,1.783186932
05-01-1978,0.635575511,0.110190306,1.95116983
06-01-1978,0.687222693,0.120046297,1.324488999
07-01-1978,0.614169972,0.066147744,5.019067655
08-01-1978,0.868310712,0.11574464,1.667463821
09-01-1978,0.807403425,0.082906876,2.882752449
10-01-1978,0.957007516,0.099495817,2.874492714
11-01-1978,0.756159137,0.129156809,1.757553482
12-01-1978,0.80805271,0.097499734,2.676930378
13-01-1978,0.788478941,0.109272176,2.260410729
14-01-1978,0.675741704,0.108383841,2.075955225
15-01-1978,0.968683252,0.108962233,2.845022459
16-01-1978,0.780614726,0.109817916,2.221859675
17-01-1978,0.786083595,0.110689562,2.231466056
18-01-1978,0.92088476,0.112085526,2.783588663
19-01-1978,0.818966021,0.110155776,2.351215797
20-01-1978,0.653239376,0.062242241,4.353956361
21-01-1978,0.83685236,0.110900638,1.87555278
22-01-1978,1.109422964,0.110810721,2.201952997
23-01-1978,0.880109581,0.107780017,2.291704967
24-01-1978,1.171989301,0.146421993,2.451817469
25-01-1978,1.358688442,0.237261012,0.741799077
26-01-1978,1.343884593,0.103741351,3.036397716
27-01-1978,0.838101306,0.11047338,2.516443334
28-01-1978,0.971414911,0.112374998,2.215795367
29-01-1978,1.087157791,0.109482855,2.228659458
30-01-1978,0.863626848,0.111791841,2.773010956
31-01-1978,1.862694339,0.111679842,4.656167037
01-02-1978,1.405139154,0.111423072,3.132205874
02-02-1978,1.465896154,0.110876529,3.481349954
03-02-1978,1.186522865,0.117092682,2.143601086
04-02-1978,1.099289234,0.1124074,2.80230662
05-02-1978,1.279937785,0.107120848,2.753899042
06-02-1978,1.344676543,0.090010224,3.610700934
07-02-1978,1.035154895,0.110620029,2.495027364
08-02-1978,1.056304893,0.110240492,2.213342804
09-02-1978,1.252605064,0.105470028,2.98663049
10-02-1978,1.18630632,0.111075911,2.772878461
11-02-1978,1.231910244,0.073740501,4.93622899
12-02-1978,0.80017929,0.108258329,1.755061268
13-02-1978,1.552408435,0.110043159,2.526281536
14-02-1978,0.953528417,0.110077925,2.153020228
15-02-1978,0.869816691,0.116535264,1.759124173
16-02-1978,0.902659742,0.110466715,2.036812628
17-02-1978,0.954627449,0.107382674,2.616809476
18-02-1978,0.612675722,0.112365851,1.851096209
19-02-1978,1.016093436,0.11241998,2.588507853
20-02-1978,0.722179095,0.112703782,2.058493472
21-02-1978,0.69959081,0.112485575,2.275847374
22-02-1978,0.699155363,0.11233936,1.976155105
