,0,1,2
25-08-2019,1.227703889,0.115208487,2.751533402
26-08-2019,1.249765509,0.115769282,2.323587015
27-08-2019,1.093881987,0.115406522,2.703486722
28-08-2019,1.6075183,0.115867411,2.399294147
29-08-2019,1.399131878,0.11492014,2.828050859
30-08-2019,1.044991229,0.115033886,2.016797034
31-08-2019,1.254507293,0.115277567,3.027475412
01-09-2019,1.142888227,0.115525438,2.24193048
02-09-2019,1.191917401,0.115862991,2.52884892
03-09-2019,1.138145687,0.115651744,2.593994606
04-09-2019,1.331146216,0.115535161,3.4621495
05-09-2019,1.499479914,0.113693298,3.131231188
06-09-2019,1.068516472,0.120309144,2.111227721
07-09-2019,1.212973605,0.114547001,3.10789455
08-09-2019,1.479152259,0.1145645,2.836829919
09-09-2019,1.073329801,0.115310764,2.497598579
10-09-2019,1.03665673,0.114933532,3.697789436
11-09-2019,1.18005767,0.1153427,2.392869247
12-09-2019,1.453326223,0.115100111,2.354472096
13-09-2019,1.090743138,0.114909862,2.16691584
14-09-2019,1.268146803,0.114943236,3.653977502
15-09-2019,1.454680845,0.115420998,2.980393578
16-09-2019,1.269270498,0.114259412,2.923172759
17-09-2019,0.923162367,0.114343704,2.413775229
18-09-2019,1.36309172,0.115059769,2.928912543
19-09-2019,1.429761837,0.115073438,3.250098415
20-09-2019,0.959611963,0.114864511,1.976241384
21-09-2019,1.280894228,0.116271273,2.623175898
22-09-2019,1.373352126,0.114491907,2.349511035
23-09-2019,0.967987271,0.114556368,2.086309167
24-09-2019,1.282179144,0.11423126,2.477430434
25-09-2019,1.523584308,0.115616364,2.785072873
26-09-2019,1.18371422,0.115249604,3.392636384
27-09-2019,1.494705563,0.115381493,2.392064732
28-09-2019,1.191536263,0.115424533,2.685737535
29-09-2019,1.109815162,0.115305798,3.009388993
30-09-2019,1.350922854,0.114275417,3.054025175
01-10-2019,1.298115366,0.11476967,3.319692396
02-10-2019,1.347333301,0.115509743,4.441183797
03-10-2019,1.334045737,0.115713412,2.929651757
04-10-2019,1.080716039,0.115299512,2.142246706
05-10-2019,1.205198026,0.115562805,3.236335438
06-10-2019,0.907881657,0.116042376,2.904111503
07-10-2019,1.400866935,0.11504242,2.416499931
08-10-2019,1.27377844,0.188086258,1.206893064
09-10-2019,1.898171489,0.136955965,3.030171054
10-10-2019,2.075465116,0.136411757,3.203536189
11-10-2019,1.759554262,0.137290306,3.75117526
12-10-2019,1.616679314,0.135520753,4.176482105
13-10-2019,1.919855875,0.137302487,2.723912793
14-10-2019,1.748741327,0.137620906,3.226254007
