,0,1,2
06-05-2019,0.292221203,0.121642113,2.1045343
07-05-2019,0.291645361,0.122181756,1.980655773
08-05-2019,0.173296,0.123572319,2.31443419
09-05-2019,0.319830756,0.12275036,1.987774218
10-05-2019,0.340824367,0.121865888,2.182727297
11-05-2019,0.143483974,0.12171571,1.947160319
12-05-2019,0.205623938,0.122230134,2.094409884
13-05-2019,0.333387889,0.12213844,2.055045078
14-05-2019,0.235350635,0.122520541,1.869074343
15-05-2019,0.186468863,0.121637431,2.449903765
16-05-2019,0.154479287,0.121591383,2.031393959
17-05-2019,0.247910829,0.122317373,2.493513325
18-05-2019,0.369962362,0.121767189,2.028461051
19-05-2019,0.164626926,0.122047844,1.802571788
20-05-2019,0.154808531,0.120889237,1.877751943
21-05-2019,0.38914236,0.121723468,2.185281154
22-05-2019,0.252450418,0.121948723,1.779436423
23-05-2019,0.466549769,0.122419528,2.475095319
24-05-2019,0.164518016,0.123334088,2.075662975
25-05-2019,0.146361205,0.122325805,2.215395181
26-05-2019,0.297415182,0.122956614,2.220295365
27-05-2019,0.318701571,0.122409598,2.132185743
28-05-2019,0.410557894,0.121852629,1.944972398
29-05-2019,0.331437756,0.122607645,2.030868469
30-05-2019,0.110068588,0.122413021,1.854377891
31-05-2019,0.409090542,0.121970691,2.385819061
01-06-2019,0.098441223,0.12159065,2.088976406
02-06-2019,0.143017818,0.123177704,2.102653245
03-06-2019,0.261926918,0.121625646,1.825272934
04-06-2019,0.136574654,0.121605177,2.228523542
05-06-2019,0.340691886,0.122398664,1.977145766
06-06-2019,0.175867302,0.121610191,1.726828956
07-06-2019,0.19958021,0.122252266,1.914074953
08-06-2019,0.25122094,0.121591039,1.866913893
09-06-2019,0.044974848,0.121468348,2.049916737
10-06-2019,0.381790109,0.121797562,2.446682793
11-06-2019,0.278053855,0.122229632,2.094418485
12-06-2019,0.204187636,0.121542998,1.686645902
13-06-2019,0.242992864,0.12159642,2.187564407
14-06-2019,0.275504757,0.122011953,1.942432642
15-06-2019,0.168206457,0.121763396,1.864271268
16-06-2019,0.233449391,0.122555558,3.206708912
17-06-2019,0.374709784,0.121543713,2.03219067
18-06-2019,0.245667765,0.121440215,2.215081717
19-06-2019,0.179016046,0.122066853,2.17913375
20-06-2019,0.307056835,0.121690169,2.407754066
21-06-2019,0.305341786,0.121563841,1.990723538
22-06-2019,0.248890158,0.122668809,2.331481015
23-06-2019,0.219557272,0.122200822,1.734849207
24-06-2019,0.224859,0.121724562,1.741636995
25-06-2019,0.302756851,0.122071845,1.875944445
26-06-2019,0.272025052,0.122734616,2.525774801
27-06-2019,0.3510353,0.12253672,2.546175546
28-06-2019,0.21807662,0.120168546,2.130341159
29-06-2019,0.183117672,0.122130885,2.120675703
30-06-2019,0.201123139,0.122704796,2.371545454
01-07-2019,0.173955617,0.122115606,1.940783889
02-07-2019,0.232130405,0.12186057,1.879196849
03-07-2019,0.42650968,0.122215167,2.299223629
04-07-2019,0.212801124,0.121672654,2.10400605
05-07-2019,0.25967233,0.121326758,1.788558463
06-07-2019,0.257578605,0.121346312,1.829474639
07-07-2019,0.147418746,0.121213371,1.913980263
08-07-2019,0.183268528,0.122989906,1.861941411
09-07-2019,0.178882507,0.122385416,1.952847068
10-07-2019,0.347614335,0.122252743,1.758651742
11-07-2019,0.226471376,0.121709099,2.103376014
12-07-2019,0.238585433,0.122670512,1.989068087
13-07-2019,0.316575374,0.122231877,1.955300087
